name	x	y	z	size	material	manufacturer	group	hemisphere	silicon	cavity	resected	edge
Gr16	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
Gr17	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
Gr18	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
Gr19	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
Gr20	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
Rst01	0	0	0	4.2	Platinum	Ad-Tech	strip	n/a	no	no	no	no
Rst02	0	0	0	4.2	Platinum	Ad-Tech	strip	n/a	no	no	no	no
Rst03	0	0	0	4.2	Platinum	Ad-Tech	strip	n/a	no	no	no	no
Gr11	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
Gr12	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
Gr13	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
Gr14	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
Gr15	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
Rst04	0	0	0	4.2	Platinum	Ad-Tech	strip	n/a	no	no	no	no
Rst05	0	0	0	4.2	Platinum	Ad-Tech	strip	n/a	no	no	no	no
Rst06	0	0	0	4.2	Platinum	Ad-Tech	strip	n/a	no	yes	no	no
Gr06	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
Gr07	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
Gr08	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
Gr09	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
Gr10	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
Riv01	0	0	0	4.2	Platinum	Ad-Tech	strip	n/a	no	no	no	no
Riv02	0	0	0	4.2	Platinum	Ad-Tech	strip	n/a	no	no	no	no
Riv03	0	0	0	4.2	Platinum	Ad-Tech	strip	n/a	no	no	no	no
Gr01	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
Gr02	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
Gr03	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
Gr04	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
Gr05	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
Riv04	0	0	0	4.2	Platinum	Ad-Tech	strip	n/a	no	no	no	no
Riv05	0	0	0	4.2	Platinum	Ad-Tech	strip	n/a	no	no	no	no
ECG	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
