name	x	y	z	size	material	manufacturer	group	hemisphere	silicon	cavity	resected	edge
Gr16	0	0	0	4.2	Platinum	Ad-Tech	grid	R	no	no	yes	yes
Gr17	0	0	0	4.2	Platinum	Ad-Tech	grid	R	no	no	yes	no
Gr18	0	0	0	4.2	Platinum	Ad-Tech	grid	R	no	no	yes	no
Gr19	0	0	0	4.2	Platinum	Ad-Tech	grid	R	no	no	yes	no
Gr20	0	0	0	4.2	Platinum	Ad-Tech	grid	R	no	no	no	yes
Rst01	0	0	0	4.2	Platinum	Ad-Tech	strip	R	no	no	yes	no
Rst02	0	0	0	4.2	Platinum	Ad-Tech	strip	R	no	no	yes	no
Rst03	0	0	0	4.2	Platinum	Ad-Tech	strip	R	no	no	yes	no
Gr11	0	0	0	4.2	Platinum	Ad-Tech	grid	R	no	no	yes	no
Gr12	0	0	0	4.2	Platinum	Ad-Tech	grid	R	no	no	yes	no
Gr13	0	0	0	4.2	Platinum	Ad-Tech	grid	R	no	no	yes	no
Gr14	0	0	0	4.2	Platinum	Ad-Tech	grid	R	no	no	yes	no
Gr15	0	0	0	4.2	Platinum	Ad-Tech	grid	R	no	no	no	yes
Rst04	0	0	0	4.2	Platinum	Ad-Tech	strip	R	no	no	yes	no
Rst05	0	0	0	4.2	Platinum	Ad-Tech	strip	R	no	no	yes	no
Rst06	0	0	0	4.2	Platinum	Ad-Tech	strip	R	no	no	yes	no
Gr06	0	0	0	4.2	Platinum	Ad-Tech	grid	R	no	no	yes	no
Gr07	0	0	0	4.2	Platinum	Ad-Tech	grid	R	no	no	yes	no
Gr08	0	0	0	4.2	Platinum	Ad-Tech	grid	R	no	no	yes	no
Gr09	0	0	0	4.2	Platinum	Ad-Tech	grid	R	no	no	yes	no
Gr10	0	0	0	4.2	Platinum	Ad-Tech	grid	R	no	no	yes	no
Riv01	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
Riv02	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
Riv03	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
Gr01	0	0	0	4.2	Platinum	Ad-Tech	grid	R	no	no	yes	no
Gr02	0	0	0	4.2	Platinum	Ad-Tech	grid	R	no	no	yes	no
Gr03	0	0	0	4.2	Platinum	Ad-Tech	grid	R	no	no	yes	no
Gr04	0	0	0	4.2	Platinum	Ad-Tech	grid	R	no	no	yes	no
Gr05	0	0	0	4.2	Platinum	Ad-Tech	grid	R	no	no	yes	no
Riv04	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
Riv05	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
ECG	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
