name	x	y	z	size	material	manufacturer	group	hemisphere	silicon	cavity	resected	edge
Gr16	0	0	0	4.2	Platinum	Ad-Tech	grid	R	no	no	yes	no
Gr17	0	0	0	4.2	Platinum	Ad-Tech	grid	R	no	no	yes	no
Gr18	0	0	0	4.2	Platinum	Ad-Tech	grid	R	no	no	yes	no
Gr19	0	0	0	4.2	Platinum	Ad-Tech	grid	R	no	no	yes	no
Gr20	0	0	0	4.2	Platinum	Ad-Tech	grid	R	no	no	yes	no
Rst01	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
Rst02	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
Rst03	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
Gr11	0	0	0	4.2	Platinum	Ad-Tech	grid	R	no	no	yes	yes
Gr12	0	0	0	4.2	Platinum	Ad-Tech	grid	R	no	no	yes	no
Gr13	0	0	0	4.2	Platinum	Ad-Tech	grid	R	no	no	yes	no
Gr14	0	0	0	4.2	Platinum	Ad-Tech	grid	R	no	no	yes	no
Gr15	0	0	0	4.2	Platinum	Ad-Tech	grid	R	no	no	yes	no
Rst04	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
Rst05	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
Rst06	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
Gr06	0	0	0	4.2	Platinum	Ad-Tech	grid	R	no	no	no	no
Gr07	0	0	0	4.2	Platinum	Ad-Tech	grid	R	no	no	no	yes
Gr08	0	0	0	4.2	Platinum	Ad-Tech	grid	R	no	no	yes	yes
Gr09	0	0	0	4.2	Platinum	Ad-Tech	grid	R	no	no	yes	no
Gr10	0	0	0	4.2	Platinum	Ad-Tech	grid	R	no	no	yes	no
Riv01	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
Riv02	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
Riv03	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
Gr01	0	0	0	4.2	Platinum	Ad-Tech	grid	R	no	no	no	no
Gr02	0	0	0	4.2	Platinum	Ad-Tech	grid	R	no	no	no	no
Gr03	0	0	0	4.2	Platinum	Ad-Tech	grid	R	no	no	no	no
Gr04	0	0	0	4.2	Platinum	Ad-Tech	grid	R	no	no	no	yes
Gr05	0	0	0	4.2	Platinum	Ad-Tech	grid	R	no	no	yes	yes
Riv04	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
Riv05	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
ECG	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
Str01	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
Str02	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
Str03	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
Str04	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
Str05	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
Str06	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
Str07	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
Str08	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
Siv01	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
Siv02	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
Siv03	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
