onset	duration	trial_type	electrodes_involved	sample_start	sample_stop
0.35596	18.2251	artefact	Rst6	729	38054
13.6694	0.31738	artefact	Gr05	27995	28645
360.8105	44.4185	artefact	Rst1	738940	829909
360.8105	44.4185	artefact	Rst2	738940	829909
360.8105	44.4185	artefact	Rst3	738940	829909
360.8105	44.4185	artefact	Rst4	738940	829909
360.8105	44.4185	artefact	Rst5	738940	829909
360.8105	44.4185	artefact	Rst6	738940	829909
479.0225	43.5117	artefact	Rst6	981038	1070150
504.3926	18.3311	artefact	Gr05	1032996	1070538
0.12012	365.6475	good data segment	all	246	749092
369.3936	72.0508	good data segment	all	756518	904078
442.1309	80.4775	good data segment	all	905484	1070302
