name	x	y	z	size	material	manufacturer	group	hemisphere	silicon	cavity	resected	edge
Gr16	0	0	0	4.2	Platinum	Ad-Tech	grid	n/a	no	no	no	no
Gr17	0	0	0	4.2	Platinum	Ad-Tech	grid	n/a	no	no	no	no
Gr18	0	0	0	4.2	Platinum	Ad-Tech	grid	n/a	no	no	no	no
Gr19	0	0	0	4.2	Platinum	Ad-Tech	grid	n/a	no	no	no	no
Gr20	0	0	0	4.2	Platinum	Ad-Tech	grid	n/a	no	no	no	no
Rst1	0	0	0	4.2	Platinum	Ad-Tech	strip	n/a	no	no	no	no
Rst2	0	0	0	4.2	Platinum	Ad-Tech	strip	n/a	no	no	no	no
Rst3	0	0	0	4.2	Platinum	Ad-Tech	strip	n/a	no	no	no	no
Gr11	0	0	0	4.2	Platinum	Ad-Tech	grid	n/a	no	no	no	no
Gr12	0	0	0	4.2	Platinum	Ad-Tech	grid	n/a	no	no	no	no
Gr13	0	0	0	4.2	Platinum	Ad-Tech	grid	n/a	no	no	no	no
Gr14	0	0	0	4.2	Platinum	Ad-Tech	grid	n/a	no	no	no	no
Gr15	0	0	0	4.2	Platinum	Ad-Tech	grid	n/a	no	no	no	no
Rst4	0	0	0	4.2	Platinum	Ad-Tech	strip	n/a	no	no	no	no
Rst5	0	0	0	4.2	Platinum	Ad-Tech	strip	n/a	no	no	no	no
Rst6	0	0	0	4.2	Platinum	Ad-Tech	strip	n/a	no	no	no	no
Gr06	0	0	0	4.2	Platinum	Ad-Tech	grid	n/a	no	no	no	no
Gr07	0	0	0	4.2	Platinum	Ad-Tech	grid	n/a	no	no	no	no
Gr08	0	0	0	4.2	Platinum	Ad-Tech	grid	n/a	no	no	no	no
Gr09	0	0	0	4.2	Platinum	Ad-Tech	grid	n/a	no	no	no	no
Gr10	0	0	0	4.2	Platinum	Ad-Tech	grid	n/a	no	no	no	no
Riv1	0	0	0	4.2	Platinum	Ad-Tech	strip	n/a	no	no	no	no
Riv2	0	0	0	4.2	Platinum	Ad-Tech	strip	n/a	no	no	no	no
Riv3	0	0	0	4.2	Platinum	Ad-Tech	strip	n/a	no	no	no	no
Gr01	0	0	0	4.2	Platinum	Ad-Tech	grid	n/a	no	no	no	no
Gr02	0	0	0	4.2	Platinum	Ad-Tech	grid	n/a	no	no	no	no
Gr03	0	0	0	4.2	Platinum	Ad-Tech	grid	n/a	no	no	no	no
Gr04	0	0	0	4.2	Platinum	Ad-Tech	grid	n/a	no	no	no	no
Gr05	0	0	0	4.2	Platinum	Ad-Tech	grid	n/a	no	no	no	no
Riv4	0	0	0	4.2	Platinum	Ad-Tech	strip	n/a	no	no	no	no
Riv5	0	0	0	4.2	Platinum	Ad-Tech	strip	n/a	no	no	no	no
ECG	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
D01	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
D02	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
D03	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
D04	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
D05	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
D06	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
D07	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
D08	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
el041	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
el042	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
el043	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
el044	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
el045	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
el046	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
el047	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
el048	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
el049	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
el050	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
el051	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
el052	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
el053	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
el054	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
el055	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
el056	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
el057	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
el058	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
el059	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
el060	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
el061	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
el062	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
el063	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
el064	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
