name	x	y	z	size	material	manufacturer	group	hemisphere	silicon	cavity	resected	edge
Gr16	0	0	0	4.2	Platinum	Ad-Tech	grid	R	no	no	yes	no
Gr17	0	0	0	4.2	Platinum	Ad-Tech	grid	R	no	no	yes	no
Gr18	0	0	0	4.2	Platinum	Ad-Tech	grid	R	no	no	yes	no
Gr19	0	0	0	4.2	Platinum	Ad-Tech	grid	R	no	no	yes	no
Gr20	0	0	0	4.2	Platinum	Ad-Tech	grid	R	no	no	yes	no
Rst1	0	0	0	4.2	Platinum	Ad-Tech	strip	R	no	no	yes	no
Rst2	0	0	0	4.2	Platinum	Ad-Tech	strip	R	no	no	yes	no
Rst3	0	0	0	4.2	Platinum	Ad-Tech	strip	R	no	no	yes	no
Gr11	0	0	0	4.2	Platinum	Ad-Tech	grid	R	no	no	yes	no
Gr12	0	0	0	4.2	Platinum	Ad-Tech	grid	R	no	no	yes	no
Gr13	0	0	0	4.2	Platinum	Ad-Tech	grid	R	no	no	yes	no
Gr14	0	0	0	4.2	Platinum	Ad-Tech	grid	R	no	no	yes	no
Gr15	0	0	0	4.2	Platinum	Ad-Tech	grid	R	no	no	yes	no
Rst4	0	0	0	4.2	Platinum	Ad-Tech	strip	R	no	no	yes	no
Rst5	0	0	0	4.2	Platinum	Ad-Tech	strip	R	no	no	yes	no
Rst6	0	0	0	4.2	Platinum	Ad-Tech	strip	R	no	no	yes	no
Gr06	0	0	0	4.2	Platinum	Ad-Tech	grid	R	no	no	yes	no
Gr07	0	0	0	4.2	Platinum	Ad-Tech	grid	R	no	no	yes	no
Gr08	0	0	0	4.2	Platinum	Ad-Tech	grid	R	no	no	yes	no
Gr09	0	0	0	4.2	Platinum	Ad-Tech	grid	R	no	no	yes	no
Gr10	0	0	0	4.2	Platinum	Ad-Tech	grid	R	no	no	yes	no
Riv1	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
Riv2	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
Riv3	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
Gr01	0	0	0	4.2	Platinum	Ad-Tech	grid	R	no	no	yes	no
Gr02	0	0	0	4.2	Platinum	Ad-Tech	grid	R	no	no	yes	no
Gr03	0	0	0	4.2	Platinum	Ad-Tech	grid	R	no	no	yes	no
Gr04	0	0	0	4.2	Platinum	Ad-Tech	grid	R	no	no	yes	no
Gr05	0	0	0	4.2	Platinum	Ad-Tech	grid	R	no	no	yes	no
Riv4	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
Riv5	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
ECG	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
D01	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
D02	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
D03	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
D04	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
D05	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
D06	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
D07	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
D08	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
el041	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
el042	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
el043	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
el044	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
el045	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
el046	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
el047	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
el048	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
el049	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
el050	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
el051	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
el052	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
el053	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
el054	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
el055	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
el056	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
el057	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
el058	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
el059	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
el060	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
el061	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
el062	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
el063	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
el064	0	0	0	n/a	n/a	n/a	other	n/a	n/a	n/a	n/a	n/a
